4100287387184462|1|2024|806
4100288162971750|11|2023|177
4100283820441858|6|2026|462
4100287614373946|7|2027|982
4100289741829758|9|2026|202
4100285747990370|2|2024|415
4100285616355754|5|2024|177
410028369652919|11|2027|297
410028425674214|5|2024|173
4100285891067041|9|2026|550
4100282520936662|3|2023|869
4100285516577838|1|2024|338
4100284354240351|8|2023|849
4100284264665762|1|2027|467
4100281597890208|10|2023|152
4100281850821890|3|2024|101
4100286021577230|6|2026|611
410028462861504|3|2027|201
4100289303945703|3|2027|371
4100284055407754|6|2024|877
4100289133640060|4|2027|153
4100285768367086|12|2027|109
4100282999127082|2|2024|582
4100286077855100|8|2025|573
4100282450121590|10|2027|887
4100282413513826|12|2025|968
4100283608262807|5|2023|482
410028820988338|11|2025|921
4100289769460650|1|2025|811
4100282152377649|6|2027|689
4100281575585150|10|2027|800
4100289623016417|8|2026|182
4100282593693935|4|2024|722
4100288582894285|9|2025|551
4100281749853419|4|2026|257
4100287014928158|6|2025|112
4100282968816418|5|2023|742
4100288610048573|2|2025|855
4100287197817582|3|2024|259
4100281956308636|9|2025|241
4100285022492266|5|2024|787
4100281285347792|10|2026|127
4100281037679500|5|2025|914
4100287525707216|9|2027|536
4100282472860027|10|2027|742
4100287618130979|11|2027|664
4100286382171987|3|2026|286
4100284346547152|6|2025|712
4100285451819807|4|2026|767
4100286801626223|11|2025|379
4100287409480286|1|2027|714
4100287779879992|10|2026|924
4100283693855002|7|2024|173
4100284451129739|12|2026|178
410028424450239|5|2027|588
4100285161963796|7|2024|376
4100285437827270|10|2023|629
410028110715336|11|2024|141
4100283798603638|12|2023|638
4100288494990007|2|2025|236
4100286757698382|2|2024|117
4100287689104978|9|2023|519
4100288947569036|12|2026|704
4100289408378172|6|2025|627
410028791721920|12|2023|643
4100288564029678|12|2025|430
4100287025909403|11|2023|238
410028886730216|5|2023|813
4100287332915341|6|2026|307
4100285898820715|10|2027|970
4100284372614686|8|2027|639
4100288643807318|3|2026|798
4100282701727393|6|2024|254
4100287849570472|8|2025|299
410028172477364|3|2027|107
410028196219440|8|2023|516
410028308655747|12|2024|323
4100288019599440|12|2023|337
410028111706246|4|2023|425
4100284087190493|12|2027|364
4100287985440027|3|2024|205
4100283661208275|8|2027|260
4100286218491716|9|2023|801
4100288605210683|4|2024|767
4100281407778296|12|2025|949
4100284841215776|6|2025|763
4100287198784120|10|2023|757
4100281102019079|9|2026|731
4100286371054020|4|2024|793
4100285350455794|3|2027|779
4100283493377702|3|2027|696
410028490891969|2|2026|261
4100282667080308|1|2025|748
4100286164886588|9|2027|113
4100286119853824|11|2024|484
4100288149808661|4|2027|454
4100289210080511|11|2025|448
4100285050699089|10|2025|801
4100283278053726|11|2026|255
4100285008498055|7|2024|792
410028462273246|9|2023|265
41002819168581|1|2026|937
4100287865928182|5|2023|432
4100285391345681|8|2023|907
4100282333397508|10|2027|883
410028986692440|7|2026|198
4100285781411770|9|2025|877
4100283517172725|1|2024|223
4100286472339569|4|2026|881
4100285748630421|11|2026|424
4100283727423710|7|2024|889
4100287873603942|7|2027|363
4100288390487280|5|2023|874
4100284768572068|4|2026|835
4100284029287183|8|2024|153
4100286886584818|10|2025|580
4100287549929879|3|2026|476
4100285190196251|5|2024|764
4100287184052979|6|2026|652
4100283912041988|1|2024|877
4100282870751521|9|2024|816
4100282210778267|12|2027|695
4100289557370020|1|2027|741
4100289392876181|6|2025|682
4100285740190036|11|2026|970
4100286358145650|1|2024|115
4100285473874640|8|2025|680
4100281709703588|9|2026|649
4100283628575030|10|2027|300
4100281670794079|4|2024|980
4100289691770390|12|2024|917
4100281743817733|7|2024|658
4100286903541775|12|2026|285
4100283584035029|2|2024|182
4100284878370049|10|2027|224
4100285197081829|1|2026|518
4100288057560189|6|2027|509
4100287619104734|9|2024|611
4100285575012909|4|2027|769
4100282940885994|11|2027|975
410028961615009|5|2024|449
4100284111413432|11|2027|778
4100289016186546|6|2026|725
4100283403757605|9|2026|964
4100287122189966|12|2024|437
4100286990669802|11|2023|565
4100289243090768|9|2026|518
4100284367715191|3|2027|122
410028350426865|9|2023|542
4100283753250698|10|2025|960
410028715081525|10|2027|713
4100286193673528|3|2026|301
4100289893982660|10|2025|980
4100288628505200|4|2023|851
4100283905625391|12|2027|240
4100283705591082|5|2025|244
410028862562845|11|2023|445
410028770248429|6|2024|129
4100284602973076|8|2025|218
4100285536222472|7|2027|500
4100285386052490|10|2026|262
410028311959500|9|2027|560
4100288819336308|12|2027|571
4100288370355960|4|2023|117
4100281826891050|7|2024|889
4100285658267776|12|2024|117
4100289311173157|1|2024|493
4100285454136167|4|2024|224
4100283221223061|10|2027|908
4100282919111349|1|2025|196
4100282910819452|12|2026|626
4100284936328476|9|2027|710
4100283479615430|8|2027|367
4100286876313475|7|2027|132
4100282506545990|8|2026|867
4100283741200219|9|2024|676
4100286231939824|9|2023|451
4100288333773374|4|2027|621
4100287191786387|3|2027|871
4100287080871001|6|2023|576
4100281655211651|2|2025|260
4100289927910307|7|2026|759
4100284171330310|6|2027|311
4100281444840521|6|2027|328
4100285342053210|5|2023|392
4100283006324720|6|2027|204
4100287415922396|12|2024|742
410028134812375|5|2027|266
4100287156667812|6|2027|594
4100283450198406|10|2024|466
4100283649811067|8|2024|336
4100282235789901|8|2023|596
4100284446597925|9|2024|464
4100285333154282|9|2023|598
4100281437446906|10|2025|477
4100284461134372|6|2025|807
410028859595071|1|2025|261
4100281782613118|4|2026|471
410028216502417|2|2027|706
4100288564871939|2|2024|143
